5	Draft	J2EE Misconfiguration: Data Transmission Without Encryption
6	Incomplete	J2EE Misconfiguration: Insufficient Session-ID Length
7	Incomplete	J2EE Misconfiguration: Missing Custom Error Page
8	Incomplete	J2EE Misconfiguration: Entity Bean Declared Remote
9	Draft	J2EE Misconfiguration: Weak Access Permissions for EJB Methods
11	Draft	ASP.NET Misconfiguration: Creating Debug Binary
12	Draft	ASP.NET Misconfiguration: Missing Custom Error Page
13	Draft	ASP.NET Misconfiguration: Password in Configuration File
14	Draft	Compiler Removal of Code to Clear Buffers
15	Incomplete	External Control of System or Configuration Setting
20	Stable	Improper Input Validation
22	Stable	Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
23	Draft	Relative Path Traversal
24	Incomplete	Path Traversal: '../filedir'
25	Incomplete	Path Traversal: '/../filedir'
26	Draft	Path Traversal: '/dir/../filename'
27	Draft	Path Traversal: 'dir/../../filename'
28	Incomplete	Path Traversal: '..\filedir'
29	Incomplete	Path Traversal: '\..\filename'
30	Draft	Path Traversal: '\dir\..\filename'
31	Draft	Path Traversal: 'dir\..\..\filename'
32	Incomplete	Path Traversal: '...' (Triple Dot)
33	Incomplete	Path Traversal: '....' (Multiple Dot)
34	Incomplete	Path Traversal: '....//'
35	Incomplete	Path Traversal: '.../...//'
36	Draft	Absolute Path Traversal
37	Draft	Path Traversal: '/absolute/pathname/here'
38	Draft	Path Traversal: '\absolute\pathname\here'
39	Draft	Path Traversal: 'C:dirname'
40	Draft	Path Traversal: '\\UNC\share\name\' (Windows UNC Share)
41	Incomplete	Improper Resolution of Path Equivalence
42	Incomplete	Path Equivalence: 'filename.' (Trailing Dot)
43	Incomplete	Path Equivalence: 'filename....' (Multiple Trailing Dot)
44	Incomplete	Path Equivalence: 'file.name' (Internal Dot)
45	Incomplete	Path Equivalence: 'file...name' (Multiple Internal Dot)
46	Incomplete	Path Equivalence: 'filename ' (Trailing Space)
47	Incomplete	Path Equivalence: ' filename' (Leading Space)
48	Incomplete	Path Equivalence: 'file name' (Internal Whitespace)
49	Incomplete	Path Equivalence: 'filename/' (Trailing Slash)
50	Incomplete	Path Equivalence: '//multiple/leading/slash'
51	Incomplete	Path Equivalence: '/multiple//internal/slash'
52	Incomplete	Path Equivalence: '/multiple/trailing/slash//'
53	Incomplete	Path Equivalence: '\multiple\\internal\backslash'
54	Incomplete	Path Equivalence: 'filedir\' (Trailing Backslash)
55	Incomplete	Path Equivalence: '/./' (Single Dot Directory)
56	Incomplete	Path Equivalence: 'filedir*' (Wildcard)
57	Incomplete	Path Equivalence: 'fakedir/../realdir/filename'
58	Incomplete	Path Equivalence: Windows 8.3 Filename
59	Draft	Improper Link Resolution Before File Access ('Link Following')
61	Incomplete	UNIX Symbolic Link (Symlink) Following
62	Incomplete	UNIX Hard Link
64	Incomplete	Windows Shortcut Following (.LNK)
65	Incomplete	Windows Hard Link
66	Draft	Improper Handling of File Names that Identify Virtual Resources
67	Incomplete	Improper Handling of Windows Device Names
69	Incomplete	Improper Handling of Windows ::DATA Alternate Data Stream
71	Deprecated	DEPRECATED: Apple '.DS_Store'
72	Incomplete	Improper Handling of Apple HFS+ Alternate Data Stream Path
73	Draft	External Control of File Name or Path
74	Incomplete	Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
75	Draft	Failure to Sanitize Special Elements into a Different Plane (Special Element Injection)
76	Draft	Improper Neutralization of Equivalent Special Elements
77	Draft	Improper Neutralization of Special Elements used in a Command ('Command Injection')
78	Stable	Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
79	Stable	Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
80	Incomplete	Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS)
81	Incomplete	Improper Neutralization of Script in an Error Message Web Page
82	Incomplete	Improper Neutralization of Script in Attributes of IMG Tags in a Web Page
83	Draft	Improper Neutralization of Script in Attributes in a Web Page
84	Draft	Improper Neutralization of Encoded URI Schemes in a Web Page
85	Draft	Doubled Character XSS Manipulations
86	Draft	Improper Neutralization of Invalid Characters in Identifiers in Web Pages
87	Draft	Improper Neutralization of Alternate XSS Syntax
88	Draft	Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')
89	Stable	Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
90	Draft	Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection')
91	Draft	XML Injection (aka Blind XPath Injection)
92	Deprecated	DEPRECATED: Improper Sanitization of Custom Special Characters
93	Draft	Improper Neutralization of CRLF Sequences ('CRLF Injection')
94	Draft	Improper Control of Generation of Code ('Code Injection')
95	Incomplete	Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection')
96	Draft	Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection')
97	Draft	Improper Neutralization of Server-Side Includes (SSI) Within a Web Page
98	Draft	Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion')
99	Draft	Improper Control of Resource Identifiers ('Resource Injection')
102	Incomplete	Struts: Duplicate Validation Forms
103	Draft	Struts: Incomplete validate() Method Definition
104	Draft	Struts: Form Bean Does Not Extend Validation Class
105	Draft	Struts: Form Field Without Validator
106	Draft	Struts: Plug-in Framework not in Use
107	Draft	Struts: Unused Validation Form
108	Incomplete	Struts: Unvalidated Action Form
109	Draft	Struts: Validator Turned Off
110	Draft	Struts: Validator Without Form Field
111	Draft	Direct Use of Unsafe JNI
112	Draft	Missing XML Validation
113	Incomplete	Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
114	Incomplete	Process Control
115	Incomplete	Misinterpretation of Input
116	Draft	Improper Encoding or Escaping of Output
117	Draft	Improper Output Neutralization for Logs
118	Incomplete	Incorrect Access of Indexable Resource ('Range Error')
119	Stable	Improper Restriction of Operations within the Bounds of a Memory Buffer
120	Incomplete	Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
121	Draft	Stack-based Buffer Overflow
122	Draft	Heap-based Buffer Overflow
123	Draft	Write-what-where Condition
124	Incomplete	Buffer Underwrite ('Buffer Underflow')
125	Draft	Out-of-bounds Read
126	Draft	Buffer Over-read
127	Draft	Buffer Under-read
128	Incomplete	Wrap-around Error
129	Draft	Improper Validation of Array Index
130	Incomplete	Improper Handling of Length Parameter Inconsistency
131	Draft	Incorrect Calculation of Buffer Size
132	Deprecated	DEPRECATED (Duplicate): Miscalculated Null Termination
134	Draft	Use of Externally-Controlled Format String
135	Draft	Incorrect Calculation of Multi-Byte String Length
138	Draft	Improper Neutralization of Special Elements
140	Draft	Improper Neutralization of Delimiters
141	Draft	Improper Neutralization of Parameter/Argument Delimiters
142	Draft	Improper Neutralization of Value Delimiters
143	Draft	Improper Neutralization of Record Delimiters
144	Draft	Improper Neutralization of Line Delimiters
145	Incomplete	Improper Neutralization of Section Delimiters
146	Incomplete	Improper Neutralization of Expression/Command Delimiters
147	Draft	Improper Neutralization of Input Terminators
148	Draft	Improper Neutralization of Input Leaders
149	Draft	Improper Neutralization of Quoting Syntax
150	Incomplete	Improper Neutralization of Escape, Meta, or Control Sequences
151	Draft	Improper Neutralization of Comment Delimiters
152	Draft	Improper Neutralization of Macro Symbols
153	Draft	Improper Neutralization of Substitution Characters
154	Incomplete	Improper Neutralization of Variable Name Delimiters
155	Draft	Improper Neutralization of Wildcards or Matching Symbols
156	Draft	Improper Neutralization of Whitespace
157	Draft	Failure to Sanitize Paired Delimiters
158	Incomplete	Improper Neutralization of Null Byte or NUL Character
159	Draft	Improper Handling of Invalid Use of Special Elements
160	Incomplete	Improper Neutralization of Leading Special Elements
161	Incomplete	Improper Neutralization of Multiple Leading Special Elements
162	Incomplete	Improper Neutralization of Trailing Special Elements
163	Incomplete	Improper Neutralization of Multiple Trailing Special Elements
164	Incomplete	Improper Neutralization of Internal Special Elements
165	Incomplete	Improper Neutralization of Multiple Internal Special Elements
166	Draft	Improper Handling of Missing Special Element
